folder,frame,channel_number
.,10029_23cd867928,10027
.,10156_9e01451ca2,10154
.,11226_95a1a5a1a7,11224
.,11624_e3f6e10913,11622
.,1379_283755fe9c,1377
.,16595_fc687169c2,16593
.,2025_9ac6ed6659,2023
.,20844_ac759d1623,20842
.,22922_3d79c54c97,22920
.,24359_e4ac35a1ab,24357
.,2509_65a0644d86,2507
.,25827_1f95c362f3,25825
.,26726_e5f2cd38d7,26724
.,26819_be9adfd4ac,26817
.,28477_350161ec71,28475
.,30338_cb0e8825fc,30336
.,31242_5cbcdb0062,31240
.,32962_7ad9e9d85a,32960
.,35779_72cc0959ac,35777
.,37123_843b4ae408,37121
.,37252_bf8dbfacba,37250
.,37940_591da8df06,37938
.,38488_6a09ec311c,38486
.,39132_87a7f46406,39130
.,39169_07455debb9,39167
.,39262_e9286a7cca,39260
.,40998_cf0cee56c2,40996
.,41120_c68628b208,41118
.,41612_b98415dd34,41610
.,43814_dfbdd01434,43812
.,44378_449ebbc50e,44376
.,44467_d527beb6dd,44465
.,45882_a0209a01f2,45880
.,45940_9561bd86f0,45938
.,47516_dafe70b813,47514
.,48359_a79c00366c,48357
.,4922_39a4a02ed4,4920
.,49366_c5fa81f88a,49364
.,51840_5e1a89d56f,51838
.,51976_1992c5a94a,51974
.,54373_a52faea005,54371
.,55494_4e87490fca,55492
.,55905_ecdb09103a,55903
.,57422_b71a3d7bb3,57420
.,57803_3d65f180ff,57801
.,59326_90b40b552f,59324
.,59475_4bcb7d30ef,59473
.,59901_dfda14395a,59899
.,60036_b00893c84a,60034
.,60083_9f2dc9833d,60081
.,60743_fd09d42080,60741
.,61247_7145485fa8,61245
.,61583_a875209bf0,61581
.,6349_c75f21513f,6347
.,63768_b74dbfecd6,63766
.,64012_dd40b13a31,64010
.,64393_b366f5419b,64391
.,64599_9e9f35a3b3,64597
.,65096_8618e7ff5b,65094
.,65298_98a93c462a,65296
.,65775_c3ca90e58d,65773
.,66618_6e0e3bc130,66616
.,67878_ba18ef2395,67876
.,67951_ecad7488ac,67949
.,68393_70e8fe9fa8,68391
.,68951_dea53f016f,68949
.,69200_ff8ca03376,69198
.,70754_119d2f285b,70752
.,74619_fd1d6f0754,74617
.,74951_4cf63f276c,74949
.,77370_d3e2f47977,77368
.,77713_2d3834c47d,77711
.,78527_c192afb708,78525
.,8008_0d31cfc029,8006
.,80413_dd79756ad8,80411
.,8165_3908f69528,8163
.,81735_b1364d4283,81733
.,82627_f6b22097b5,82625
.,82934_0ef45b39de,82932
.,82989_6593ea7f17,82987
.,83990_2468b778fb,83988
.,84374_686ccdd2ea,84372
.,84683_079461410d,84681
.,88767_e8e44ecda3,88765
.,89229_92a2eb339f,89227
.,90520_254238ba90,90518
.,91576_387a10329e,91574
.,91687_3e3b5f0ef7,91685
.,92824_0a787c1c11,92822
.,92909_cbab9fbd99,92907
.,93048_7beaa47997,93046
.,93702_a24fed4442,93700
.,93830_d8b2685a76,93828
.,94289_41440f0e6b,94287
.,94390_04727011fb,94388
.,9459_4a801ce751,9457
.,96642_6cca539ac3,96640
.,97383_a28b6824d8,97381
.,98497_64a66c2fec,98495
.,99773_2550ecdde6,99771
